Gamma,Corr_Avg,Corr_Avg_Scaled
0.02,0.009805384331964661,0.016362028296852644
0.04,0.018381134882742792,0.0306721938577437
0.06,0.019684720650593655,0.03284745864072815
0.08,0.02321442173064177,0.03873739288460157
0.1,0.02829470826837426,0.04721475483924954
0.2,0.06585824368072987,0.10989619684486251
0.4,0.11118374240635845,0.18552985561946955
0.6,0.1468645411077026,0.2450696164529667
0.8,0.1695029022465425,0.2828457497495032
1.0,0.1867720000861389,0.311662311951097
2.0,0.25718883162875944,0.4291653236911998
3.0,0.29776130887565044,0.49686772048792266
4.0,0.32793271661884416,0.5472140822965781
5.0,0.3467748509387408,0.5786555357345868
6.0,0.3617858432217914,0.6037040470610061
7.0,0.37193776227257475,0.6206443301904275
8.0,0.38259141173133726,0.638421839771645
9.0,0.3920340656931779,0.6541785879102534
10.0,0.40143069988093777,0.6698585438681341
12.0,0.4189337649905369,0.6990655220863489
14.0,0.4319177816329151,0.7207316639240376
16.0,0.44629605432573294,0.7447243700429432
18.0,0.4587744093238538,0.7655467254616745
20.0,0.4707184192356094,0.7854774310350353
30.0,0.5112306706969896,0.8530793303934766
40.0,0.5396184749226216,0.9004494324007111
50.0,0.564364998330353,0.9417434095195967
60.0,0.5753932931253835,0.9601460814999376
70.0,0.5848035683778074,0.97584880000118
80.0,0.5906368226846002,0.9855826226438419
90.0,0.595340823376103,0.9934320847166214
100.0,0.5992768227794104,1.0

Correlation Ratio:,0.8
Gamma Chosen:,20.0
