Gamma,Corr_Avg,Corr_Avg_Scaled
0.02,0.05267784715663252,0.0852665412752089
0.04,0.08132499704610638,0.13163600244937104
0.06,0.08991317554439358,0.1455371832289441
0.08,0.09628551036593097,0.15585170782339988
0.1,0.09702438619150389,0.15704768278211712
0.2,0.0802770699477109,0.12993978432331388
0.4,0.09252081658623539,0.14975801882733164
0.6,0.10253753083736544,0.16597148663660635
0.8,0.1170018422494804,0.18938401908827263
1.0,0.13170867554302276,0.21318910748383282
2.0,0.17302361317368098,0.28006317362196764
3.0,0.2112552773597802,0.341946525890541
4.0,0.23809522692569232,0.38539077790565446
5.0,0.2636272329578366,0.42671793844252176
6.0,0.28406897136033177,0.45980578134640404
7.0,0.30256965813222636,0.4897517578318315
8.0,0.3200903754316278,0.518111515214069
9.0,0.3350323036659664,0.5422971380003644
10.0,0.3501238050380258,0.5667248660511975
12.0,0.3806738954176037,0.6161745053761726
14.0,0.4112987135327499,0.6657451021034175
16.0,0.43759375412951423,0.7083073419328219
18.0,0.4579890989784421,0.7413200903128451
20.0,0.47447676601889804,0.7680077098364142
30.0,0.5349541885325498,0.8658989662434117
40.0,0.57205874134914,0.9259579294509773
50.0,0.5922191719991768,0.9585904359965853
60.0,0.602863918027463,0.975820462005169
70.0,0.6093896988946598,0.9863833607130701
80.0,0.6132336866184515,0.9926053981653128
90.0,0.6158906199936893,0.9969060203724349
100.0,0.6178020870649354,1.0

Correlation Ratio:,0.8
Gamma Chosen:,20.0
