Gamma,Corr_Avg,Corr_Avg_Scaled
0.02,0.003833472194828438,0.005842241977055173
0.04,0.01647046451291053,0.02510111832524453
0.06,0.01684328132910872,0.025669294104968064
0.08,0.01995879173677131,0.030417356633803815
0.1,0.021415740719755428,0.03263775841950102
0.2,0.047001930141757936,0.07163131368142928
0.4,0.0660133034299941,0.1006047970983266
0.6,0.10140917071312092,0.15454837909032068
0.8,0.13678239103503467,0.20845744693411505
1.0,0.16897921463419863,0.2575256610228035
2.0,0.2904684457843917,0.44267621120635103
3.0,0.3427662254650886,0.5223784415158693
4.0,0.37565125589387743,0.572495488261895
5.0,0.3966144016169014,0.6044434883228832
6.0,0.41546883655691247,0.6331777964545007
7.0,0.43035510587343967,0.6558645887573351
8.0,0.44300527629887565,0.6751435486454715
9.0,0.4528087299282181,0.6900840895970205
10.0,0.46241601331253945,0.7047256655419476
12.0,0.47898802579789124,0.729981543781215
14.0,0.49290996887472904,0.7511986952595537
16.0,0.5071910851285412,0.7729632295034131
18.0,0.520008336025478,0.7924968213530036
20.0,0.5319108744364363,0.8106363841315785
30.0,0.5684564025935855,0.8663320583982089
40.0,0.5927139950697423,0.9033008213952869
50.0,0.6108839506171765,0.9309919775131408
60.0,0.6262552336177606,0.9544179345106523
70.0,0.6354297127850544,0.968399913402032
80.0,0.6430384465400308,0.9799956838879972
90.0,0.6500649022100137,0.9907040579621512
100.0,0.6561645700202116,1.0

Correlation Ratio:,0.8
Gamma Chosen:,18.0
