Gamma,Corr_Avg,Corr_Avg_Scaled
0.02,0.0699400235538354,0.10529363078455657
0.04,0.0710772441933681,0.10700569898320915
0.06,0.07892469704712234,0.11881991867311804
0.08,0.08622846259640034,0.12981562548026093
0.1,0.08768274117865608,0.13200501953987342
0.2,0.0782398812799464,0.11778893905829187
0.4,0.08777921179173254,0.13215025456552384
0.6,0.10164340486412286,0.15302258420330847
0.8,0.1211397894558124,0.1823740916309679
1.0,0.13834921330753144,0.20828261480529958
2.0,0.18186682164272627,0.27379770547646465
3.0,0.22212200941655516,0.33440127212179066
4.0,0.2516327992318342,0.3788293127354579
5.0,0.2772725723986744,0.4174295972656882
6.0,0.29866509747984177,0.44963571506477606
7.0,0.3191215348824327,0.48043256724738714
8.0,0.338332384807247,0.509354206621499
9.0,0.3550543713160758,0.5345289003659137
10.0,0.371154142977123,0.558766859217745
12.0,0.4032308129439619,0.6070577929731025
14.0,0.43603857038708443,0.6564493676903518
16.0,0.46542530104981594,0.7006906391561114
18.0,0.49045929755925516,0.7383789362367924
20.0,0.5117753507592079,0.7704699267937537
30.0,0.5790037193727143,0.8716812027320564
40.0,0.6147998747159279,0.9255717645691387
50.0,0.6362431105062523,0.9578542265616581
60.0,0.6474704915737236,0.9747568762424362
70.0,0.6546029635932648,0.9854947032726011
80.0,0.6589617734520002,0.9920568245388673
90.0,0.6620803079537386,0.9967517303128436
100.0,0.664237931892966,1.0

Correlation Ratio:,0.8
Gamma Chosen:,20.0
