Chr,Index,Beta,Pval.,Pval_adj.,Statistical_Power
chr2,60717502,-0.013887711620998605,0.0384,0.16965476772616134,0.8642
chr2,60717503,-0.013887711621075056,0.0384,0.16965476772616134,0.9032
chr2,60717504,-0.013887711621164589,0.0384,0.16965476772616134,0.9299
chr2,60717505,-0.013887711621268027,0.0384,0.16965476772616134,0.9446
chr2,60717506,-0.013887711621386014,0.0384,0.16965476772616134,0.9533
chr2,60717507,-0.013887711621519003,0.0384,0.16965476772616134,0.9595
chr2,60717508,-0.013887711621667251,0.0384,0.16965476772616134,0.9625
chr2,60717509,-0.013887711621830815,0.0384,0.16965476772616134,0.9642
chr2,60717510,-0.013887711622009554,0.0384,0.16965476772616134,0.9642
chr2,60717511,-0.013887711622203189,0.0386,0.17012243902439025,0.9635
chr2,60717512,-0.0138877116224113,0.0386,0.17012243902439025,0.9626
chr2,60717513,-0.013887711622633385,0.0384,0.16965476772616134,0.9621
chr2,60717514,-0.013887711622868929,0.0376,0.16859354838709678,0.9622
chr2,60717515,-0.013887711623117409,0.0376,0.16859354838709678,0.9618
chr2,60717516,-0.013887711623378391,0.0366,0.1645179104477612,0.9626
chr2,60717517,-0.013887711623651548,0.0358,0.1611222914072229,0.9169
chr2,60717518,-0.013887711623936691,0.0344,0.155014463840399,0.9179
chr2,60717519,-0.013887711624233818,0.0342,0.1543056179775281,0.9197
chr2,60717520,-0.013887711624543116,0.0338,0.15269149999999998,0.9233
chr2,60717521,-0.013887711624864945,0.0332,0.15035689223057644,0.927
chr2,60717522,-0.013887711625199861,0.0336,0.15197797246558198,0.9319
chr2,60717523,-0.013887711625548554,0.033,0.14963864491844417,0.9359
chr2,60717524,-0.013887711625911837,0.033,0.14963864491844417,0.9408
chr2,60717525,-0.013887711626290608,0.0322,0.14656272040302268,0.9485
chr2,60717526,-0.013887711626685789,0.0322,0.14656272040302268,0.9536
chr2,60717527,-0.013887711627098315,0.0314,0.14346346396965864,0.9595
chr2,60717528,-0.013887711627529071,0.0302,0.1385060913705584,0.9642
chr2,60717529,-0.013887711627978831,0.0302,0.1385060913705584,0.9671
chr2,60717530,-0.013887711628448226,0.0294,0.13535235668789808,0.9699
chr2,60717531,-0.013887711628937677,0.0292,0.1346030612244898,0.9711
chr2,60717532,-0.013887711629447328,0.0296,0.1360997455470738,0.9718
chr2,60717533,-0.013887711629976986,0.0292,0.1346030612244898,0.9714
chr2,60717534,-0.0138877116305261,0.0286,0.13217442455242967,0.9676
chr2,60717535,-0.0138877116310937,0.0286,0.13217442455242967,0.9616
chr2,60717536,-0.013887711631678415,0.0278,0.12880666666666665,0.9531
chr2,60717537,-0.013887711632278518,0.0266,0.12340487804878049,0.9383
chr2,60717538,-0.01388771163289202,0.0258,0.11984730077120823,0.915
chr2,60717539,-0.013887711633516793,0.0258,0.11984730077120823,0.8815
chr2,60717540,-0.013887711634150859,0.0248,0.11549896907216495,0.8409
chr2,60717541,-0.01388771163479261,0.0236,0.11005212903225807,0.7953
chr2,60717542,-0.013887711635441113,0.0234,0.10926046511627908,0.7438
chr2,60717543,-0.013887711636096287,0.023,0.10753169469598965,0.7008
chr2,60717544,-0.013887711636758832,0.0228,0.10673471502590674,0.6664
chr2,60717545,-0.013887711637429962,0.0222,0.10406070038910507,0.6392
chr2,60717546,-0.013887711638110931,0.0204,0.095996875,0.6195
chr2,60717547,-0.013887711638802569,0.021,0.09856363636363638,0.6102
chr2,60717548,-0.013887711639505031,0.021,0.09856363636363638,0.6111
chr2,60717549,-0.013887711640217732,0.0198,0.09329491525423729,0.6099
chr2,60717550,-0.013887711640939493,0.0198,0.09329491525423729,0.6032
chr2,60717551,-0.01388771164166874,0.0192,0.09070431372549018,0.5871
chr2,60717552,-0.013887711642403709,0.019,0.08987696335078534,0.5583
chr2,60717553,-0.013887711643142649,0.0188,0.08928147174770039,0.4229
chr2,60717554,-0.01388771164388397,0.0188,0.08928147174770039,0.3805
chr2,60717555,-0.013887711644626339,0.0188,0.08928147174770039,0.3358
chr2,60717556,-0.01388771164536881,0.019,0.08987696335078534,0.2978
chr2,60717557,-0.013887711646110839,0.019,0.08987696335078534,0.2682
chr2,60717558,-0.013887711646852301,0.0188,0.08928147174770039,0.2052
chr2,60717559,-0.01388771164759346,0.018,0.0859339498018494,0.1963
chr2,60717560,-0.013887711648334907,0.0178,0.08509153439153438,0.1958
chr2,60717561,-0.013887711649077462,0.017,0.08148275862068965,0.2438
chr2,60717562,-0.013887711649822092,0.0174,0.08328953642384106,0.2693
chr2,60717563,-0.013887711650569802,0.0168,0.08084580559254327,0.2994
chr2,60717564,-0.013887711651321568,0.017,0.08148275862068965,0.3395
chr2,60717565,-0.013887711652078267,0.017,0.08148275862068965,0.3747
chr2,60717566,-0.013887711652840595,0.0166,0.08041876675603217,0.4073
chr2,60717567,-0.01388771165360907,0.0166,0.08041876675603217,0.3508
chr2,60717568,-0.013887711654383987,0.0166,0.08041876675603217,0.3526
chr2,60717569,-0.013887711655165403,0.0162,0.0794393487109905,0.4128
chr2,60717570,-0.013887711655953193,0.0162,0.0794393487109905,0.3156
chr2,60717571,-0.013887711656747024,0.0162,0.0794393487109905,0.2789
chr2,60717572,-0.013887711657546414,0.0166,0.08041876675603217,0.2349
chr2,60717573,-0.013887711658350795,0.0168,0.08084580559254327,0.192
chr2,60717574,-0.01388771165915952,0.0168,0.08084580559254327,0.1325
chr2,60717575,-0.01388771165997193,0.0168,0.08084580559254327,0.1034
chr2,60717576,-0.013887711660787384,0.0168,0.08084580559254327,0.0832
chr2,60717577,-0.01388771166160528,0.0166,0.08041876675603217,0.072
chr2,60717578,-0.01388771166242509,0.0164,0.0799859649122807,0.058
chr2,60717579,-0.013887711663246356,0.0164,0.0799859649122807,0.0471
chr2,60717580,-0.013887711664068705,0.0164,0.0799859649122807,0.0402
chr2,60717581,-0.01388771166489184,0.0164,0.0799859649122807,0.0358
chr2,60717582,-0.013887711665715542,0.0162,0.0794393487109905,0.0319
chr2,60717583,-0.013887711666539659,0.016,0.07888676671214188,0.0294
chr2,60717584,-0.013887711667364095,0.016,0.07888676671214188,0.029
chr2,60717585,-0.01388771166818883,0.0156,0.07723068493150685,0.0285
chr2,60717586,-0.0138877116690139,0.0156,0.07723068493150685,0.0283
chr2,60717587,-0.013887711669839441,0.016,0.07888676671214188,0.0285
chr2,60717588,-0.013887711670665692,0.0144,0.07148571428571429,0.0295
chr2,60717589,-0.01388771167149304,0.0142,0.07058982118294362,0.0327
chr2,60717590,-0.013887711672322077,0.0138,0.06869586776859504,0.0402
chr2,60717591,-0.013887711673153651,0.0136,0.06779365517241379,0.0492
chr2,60717592,-0.013887711673988945,0.0136,0.06779365517241379,0.0665
chr2,60717593,-0.01388771167482951,0.0136,0.06779365517241379,0.0939
chr2,60717594,-0.013887711675677329,0.0136,0.06779365517241379,0.1436
chr2,60717595,-0.013887711676534803,0.0134,0.06716726768377254,0.1874
chr2,60717596,-0.0138877116774047,0.0134,0.06716726768377254,0.3
chr2,60717597,-0.013887711678290058,0.0134,0.06716726768377254,0.4588
chr2,60717598,-0.01388771167919403,0.0132,0.0666268156424581,0.6497
chr2,60717599,-0.013887711680119692,0.0132,0.0666268156424581,0.723
chr2,60717600,-0.01388771168106988,0.0132,0.0666268156424581,0.8561
chr2,60717601,-0.013887711682047034,0.0132,0.0666268156424581,0.937
chr2,60717602,-0.013887711683053083,0.0134,0.06716726768377254,0.9449
chr2,60717603,-0.013887711684089412,0.0134,0.06716726768377254,0.9878
chr2,60717604,-0.013887711685156852,0.0132,0.0666268156424581,0.994
chr2,60717605,-0.013887711686255674,0.0132,0.0666268156424581,0.9984
chr2,60717606,-0.013887711687385677,0.0128,0.06533785310734463,0.9988
chr2,60717607,-0.013887711688546233,0.0124,0.06438735632183908,0.9988
chr2,60717608,-0.013887711689736362,0.0126,0.0651450643776824,0.9987
chr2,60717609,-0.013887711690954839,0.0122,0.06344,0.998
chr2,60717610,-0.013887711692200266,0.012,0.06248991354466859,0.9913
chr2,60717611,-0.013887711693471205,0.0118,0.06162601156069364,0.9896
chr2,60717612,-0.013887711694766245,0.0112,0.05866202898550724,0.988
chr2,60717613,-0.013887711696084062,0.0114,0.05962315484804631,0.9864
chr2,60717614,-0.013887711697423514,0.011,0.057866084425036386,0.9864
chr2,60717615,-0.013887711698783611,0.0108,0.05706315789473684,0.9875
chr2,60717616,-0.013887711700163518,0.0106,0.05608843338213763,0.9742
chr2,60717617,-0.013887711701562526,0.0106,0.05608843338213763,0.9772
chr2,60717618,-0.013887711702979972,0.0104,0.055354344624447716,0.9801
chr2,60717619,-0.013887711704415152,0.0106,0.05608843338213763,0.9815
chr2,60717620,-0.013887711705867264,0.011,0.057866084425036386,0.9932
chr2,60717621,-0.013887711707335288,0.0112,0.05866202898550724,0.9919
chr2,60717622,-0.013887711708817885,0.0112,0.05866202898550724,0.9896
chr2,60717623,-0.013887711710313342,0.011,0.057866084425036386,0.985
chr2,60717624,-0.0138877117118194,0.0106,0.05608843338213763,0.9736
chr2,60717625,-0.013887711713333181,0.0102,0.05436991150442478,0.9569
chr2,60717626,-0.013887711714850958,0.01,0.05346153846153846,0.9159
chr2,60717627,-0.01388771171636798,0.01,0.05346153846153846,0.846
chr2,60717628,-0.013887711717878061,0.0102,0.05436991150442478,0.6567
chr2,60717629,-0.013887711719373044,0.0098,0.05254777448071216,0.5201
chr2,60717630,-0.013887711720841923,0.0094,0.05085568862275449,0.3876
chr2,60717631,-0.013887711722269405,0.0096,0.051551857355126296,0.2789
chr2,60717632,-0.013887711723633749,0.0096,0.051551857355126296,0.2053
chr2,60717633,-0.013887711724903364,0.0092,0.04992312312312312,0.1592
chr2,60717634,-0.013887711726031423,0.009,0.049132930513595165,0.1329
chr2,60717635,-0.013887711726946654,0.0096,0.051551857355126296,0.1189
chr2,60717636,-0.013887711727535022,0.0096,0.051551857355126296,0.1191
